"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"server_browser_expand","Expand all server details","Expand all server details","Rozbalit všechny podrobnosti serveru","Alle Serverdetails anzeigen","Показать всю информацию о сервере","Pokaż szczegóły serwera","Expand all server details","Espandi tutti i dettagli del server","Mostrar detalles de servidores","Afficher détails serveurs","展開所有伺服器詳情","全サーバー詳細を展開する","Mostrar todos os detalhes do servidor","展开所有服务器详细信息",
"server_browser_filter_reset","RESET FILTERS","RESET FILTERS","RESETOVAT FILTRY","FILTER ZURÜCKSETZEN","СБРОСИТЬ ФИЛЬТРЫ","USUŃ FILTRY","RESET FILTERS","RIPRISTINA FILTRI","REINICIAR FILTROS","RÉINITIALISER FILTRES","重置篩選","フィルターをリセット","REDEFINIR FILTROS","重置筛选器",
"server_browser_filter_whitelisted","WHITELISTING","WHITELISTING","SEZNAM POVOLENÝCH","WHITELISTING","С БЕЛЫМ СПИСКОМ","UŻYWA BIAŁEJ LISTY","WHITELISTING","CON WHITELIST","AUTORIZACIÓN","AVEC LISTE BLANCHE","白名單","ホワイトリストが有効化","PERMISSÕES","白名单",
"server_browser_hide","Hide","Hide","Skrýt","Ausblenden","Спрятать","Ukryj","Hide","Nascondi","Ocultar","Masquer","隱藏","非表示","Ocultar","隐藏",
"server_browser_menu_refresh","Refresh Servers","Refresh Servers","Obnovit servery","Server aktualisieren","Обновить серверы","Odśwież serwery","Refresh Servers","Aggiorna server","Actualizar servidores","Actualiser serveurs","刷新伺服器","サーバーをリフレッシュ","Atualizar servidores","刷新服务器",
"server_browser_menu_reset_filters","Reset Filters","Reset Filters","Resetovat filtry","Filter zurücksetzen","Сбросить фильтры","Usuń filtry","Reset Filters","Ripristina filtri","Reiniciar filtros","Réinitialiser filtres","重置篩選","フィルターをリセット","Redefinir filtros","重置筛选器",
"server_browser_name_ascending","Name - Ascending","Name - Ascending","Název – vzestupně","Name - absteigend","Имя – По возрастанию","Nazwa – rosnąco","Name - Ascending","Nome - Crescente","Nombre (ascendente)","Nom - Croissant","名稱（由低至高）","名前――昇順","Nome - Crescente","名称 - 升序",
"server_browser_name_descending","Name - Descending","Name - Descending","Název – sestupně","Name - aufsteigend","Имя – По убыванию","Nazwa – malejąco","Name - Descending","Nome - Decrescente","Nombre (descendente)","Nom - Décroissant","名稱（由高至低）","名前――降順","Nome - Decrescente","名称 - 降序",
"server_browser_servers_desc","servers","servers","serverů","Server","серверы","serwery","servers","server","servidores","serveurs","伺服器","サーバー","servidores","服务器",
"server_browser_tab_finished_loading","Finished loading","Finished loading","Načítání hotovo","Laden abgeschlossen","Завершена загрузка","Zakończono wczytywanie","Finished loading","Caricamento terminato","Carga terminada","Chargement terminé","讀取完成","読み込み終了","Carregamento concluído","已完成加载",
"servers_found","Servers found","Servers found","Nalezeno serverů","Gefundene Server","Найдено серверов","Znalezione serwery","Servers found","Server trovati","Servidores encontrados","Serveur(s) trouvé(s) ","已找到伺服器","見つかったサーバー","Servidores encontrados","找到的服务器数",
"STR_server_browser_character","Character:","Character:","Character:","Character:","Character:","Character:","Character:","Character:","Character:","Character:","Character:","Character:","Character:","Character:",
"STR_server_browser_char_not_alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive","Not alive",
"str_server_browser_list_entry_root_detailed_info_detail_info_panel_mod_expand0","Expand","Expand","Rozbalit","Erweitern","Развернуть","Rozwiń","Expand","Espandi","Expandir","Afficher","擴展","展開する","Expandir","扩展",
"STR_server_browser_map","Map:","Map:","Map:","Map:","Map:","Map:","Map:","Map:","Map:","Map:","Map:","Map:","Map:","Map:",
"STR_server_browser_mod_info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info","Mods info",
"STR_server_browser_mods","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:","Mods:",
"str_server_browser_tab_root_filters_root_filters_content_public_setting_container_public_setting_public_setting_panel_public_setting_label0","PUBLIC","PUBLIC","VEŘEJNÉ","ÖFFENTLICH","ОТКРЫТЫЙ","PUBLICZNE","PUBLIC","PUBBLICO","PÚBLICO","PUBLIC","開放","公開","PÚBLICO","公共",
"server_details_header","Server Details","Server Details","Podrobnosti serveru","Serverdetails","Информация о сервере","Szczegóły serwera","Server Details","Dettagli server","Detalles del servidor","Détails serveur","伺服器詳情","サーバー詳細","Detalhes do servidor","服务器详细信息",
"server_details_name","Name:","Name:","Název:","Name:","Имя:","Nazwa:","Name:","Nome:","Nombre:","Nom :","名稱：","名前：","Nome:","名称：",
"server_details_address","Address:","Address:","Adresa:","Adresse:","Адрес:","Adres:","Address:","Indirizzo:","Dirección:","Adresse :","位址：","アドレス：","Endereço:","地址：",
"server_details_shard","Shard:","Shard:","Shard:","Shard:","Шард:","Shard:","Shard:","Partizione:","Fragmento:","Accès :","分流：","シャード：","Shard:","分片：",
"server_details_character_alive","Character alive:","Character alive:","Postava naživu:","Charakter lebendig:","Имеется персонаж:","Żywa postać:","Character alive:","Personaggio esistente:","Personaje vivo:","Perso vivant :","存活人物：","キャラクターが生存：","Personagem vivo:","活着的角色：",
"server_details_character_none","none","none","žádné","keine","нет","brak","none","nessuno","nada","aucun","無","なし","nenhum","无",
"server_details_version","Version:","Version:","Verze:","Version:","Версия:","Wersja:","Version:","Versione:","Versión:","Version :","版本：","バージョン：","Versão:","版本：",
"server_details_hive","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Hive:","Colmena:","Ruche :","巢穴：","Hive：","Hive:","Hive：",
"server_details_mode","Mode:","Mode:","Režim:","Modus:","Режим:","Tryb:","Mode:","Modalità:","Modo:","Mode :","模式：","モード：","Modo:","模式：",
"server_details_current_time","Current time:","Current time:","Aktuální čas:","Aktuelle Zeit:","Текущее время:","Aktualny czas:","Current time:","Ora attuale:","Hora actual:","Heure actuelle :","目前時間：","現在の時間：","Hora atual:","当前时间：",
"server_details_friends","Friends:","Friends:","Přátelé:","Freunde:","Друзья:","Znajomi:","Friends:","Amici:","Amigos:","Amis :","好友：","フレンド：","Amigos:","好友：",
"server_details_ip","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP:","IP :","IP：","IP：","IP:","IP：",
"server_details_last_played","Last played:","Last played:","Naposledy hráno:","Zuletzt gespielt:","Последняя игра:","Ostatnio grano:","Last played:","Ultima partita:","Última partida:","Dernière partie :","上次遊玩：","最後にプレイ：","Último jogo:","上次玩的时间：",
"server_details_time_multiplier","Time multiplier:","Time multiplier:","Násobič času:","Zeit-Multiplikator:","Множитель времени:","Mnożnik czasu:","Time multiplier:","Moltiplicatore tempo:","Multiplicador de tiempo:","Multiplicateur temps :","時間加乘：","時間倍率：","Multiplicador de tempo:","时间倍增器：",
"server_details_ping","Ping:","Ping:","Ping:","Ping:","Пинг:","Ping:","Ping:","Ping:","Ping:","Ping :","Ping：","ping：","Ping:","Ping：",
"server_details_players","Players:","Players:","Hráči:","Spieler:","Игроки:","Gracze:","Players:","Giocatori:","Jugadores:","Joueurs :","玩家：","プレイヤー：","Jogadores:","玩家：",
"server_details_popularity_full","Full","Full","Plno","Voll","Заполнено","Pełny","Full","Completa","Lleno","Complet","滿載","満員","Cheio","满",
"server_details_popularity_high","High","High","Vysoké","Hoch","Высоко","Dużo","High","Alta","Alto","Élevée","高","高","Alto","高",
"server_details_popularity_low","Low","Low","Nízké","Niedrig","Низко","Mało","Low","Bassa","Bajo","Faible","低","低","Baixo","低",
"server_details_popularity_medium","Medium","Medium","Střední","Moderat","Средне","Średnio","Medium","Media","Normal","Moyenne","中","中","Médio","中等",
"str_server_browser_tab_root_filters_root_filters_content_apply_filter_button0","APPLY FILTER","APPLY FILTER","POUŽÍT FILTRY","FILTER ANWENDEN","ПРИМЕНИТЬ ФИЛЬТР","ZASTOSUJ FILTR","APPLY FILTER","APPLICA FILTRI","APLICAR FILTRO","APPLIQUER LES FILTRES","套用篩選","フィルターを適用","APLICAR FILTRO","应用筛选器",
"server_filter_filter_settings","Filter Settings","Filter Settings","Nastavení filtru","Filtereinstellungen","Настройки фильтра","Ustawienia filtra","Filter Settings","Impostazioni filtro","Ajustes del filtro","Paramètres filtrage","篩選設定","フィルター設定","Configurações de filtro","筛选器设置",
"server_filter_host","Host:","Host:","Hostitel:","Host:","Сервер:","Host:","Host:","Host:","Anfitrión:","Hôte :","主辦：","ホスト：","Host:","主机：",
"server_filter_version","Version:","Version:","Verze:","Version:","Версия:","Wersja:","Version:","Versione:","Versión:","Version :","版本：","バージョン：","Versão:","版本：",
"server_filter_battle_eye","BattlEye Required:","BattlEye Required:","BattlEye vyžadován:","BattlEye erforderlich:","Требуется BattlEye:","Wymagane BattlEye:","BattlEye Required:","BattlEye richiesto:","BattlEye necesario:","BattlEye requis :","需要 BattlEye：","BattlEye が必要：","BattlEye necessário:","需要 BattlEye：",
"server_filter_max_players","Max. Players:","Max. Players:","Max. hráčů:","Max. Spieler:","Макс. игроков:","Maks. graczy:","Max. Players:","Numero max giocatori:","Máx. jugadores:","Joueurs max :","最大玩家數：","最大プレイヤー数：","Máx. Jogadores:","最多玩家人数：",
"server_filter_min_players","Min. Players:","Min. Players:","Min. hráčů:","Min. Spieler:","Мин. игроков:","Min. graczy:","Min. Players:","Numero min giocatori:","Mín. jugadores:","Joueurs min :","最小玩家數：","最小プレイヤー数：","Mín. Jogadores:","最少玩家人数：",
"server_filter_full_servers","Show full servers:","Show full servers:","Zobrazit plné servery:","Volle Server anzeigen:","Показать заполненные серверы:","Pokaż pełne serwery:","Show full servers:","Mostra server completi:","Mostrar servidores llenos:","Afficher serveurs complets :","展示滿載伺服器：","満員サーバーを表示：","Mostrar servidores cheios:","显示人数已满的服务器：",
"server_filter_max_ping","Max. Ping:","Max. Ping:","Max. ping:","Max. Ping:","Макс. пинг:","Maks. ping:","Max. Ping:","Ping max:","Ping máx.:","Ping max :","Ping 最大值：","最大 ping 値：","Máx. Ping:","最大 Ping 值：",
"server_filter_passworded","Show passworded only:","Show passworded only:","Zobrazit jen chráněné heslem:","Nur passwortgeschützte anzeigen:","Показать только защищенные паролем:","Pokaż tylko chronione hasłem:","Show passworded only:","Mostra solo con password:","Mostrar solo con contraseña:","Avec mot de passe uniquement :","只顯示有密碼保護：","パスワード保護のみ表示：","Mostrar com senha apenas:","仅显示已设定密码的：",
